,Accuracy,Precision,Recall,F1,AUC
M1: DT Baseline,0.655,0.5426013752329542,0.5957142857142858,0.5570334292918117,0.7473214285714286
M2: LGBM Baseline,0.895,0.8849437046004842,0.8209523809523809,0.8480388925870553,0.8942431644834243
M3: DT Tuned,0.87,0.8179855052225319,0.8012121212121212,0.8046408045977012,0.8751766739753754
M4: LGBM Tuned,0.88,0.8446972671159676,0.8101731601731602,0.8227975278414188,0.9300686034744476
M5: SHAP+LGBM Tuned,0.885,0.8643008474576271,0.8004761904761905,0.8238326585695006,0.9322975487715747
M6: SHAP+DT Tuned,0.875,0.8308639311444359,0.8083549783549783,0.814765406162465,0.8767186803095894
M7: MI+LGBM Tuned,0.895,0.8799110625113906,0.8209523809523809,0.8452163272213866,0.9290085034013605
M8: Boruta+LGBM Tuned,0.88,0.8468268025078369,0.8039826839826839,0.8203150219847499,0.9293701626656172
M9: MI+DT Tuned,0.845,0.7707928312047306,0.7493506493506492,0.7549110149110149,0.8726898437060775
M10: Boruta+DT Tuned,0.87,0.8179855052225319,0.8012121212121212,0.8046408045977012,0.8751766739753754
